lake,round,location,direction,date_in,time_in,date_out,time_out,daysin,mayfly
BARRET1,1,SM,N,6/16/15,1857,7/4/15,955,18,2
BARRET1,1,SM,S,6/16/15,1857,7/4/15,955,18,0
BARRET1,1,SM,E,6/16/15,1857,7/4/15,955,18,1
BARRET1,1,SM,W,6/16/15,1857,7/4/15,955,18,2
BARRET1,1,X,N,6/16/15,1914,7/4/15,1016,18,1
BARRET1,1,X,S,6/16/15,1914,7/4/15,1016,18,2
BARRET1,1,X,E,6/16/15,1914,7/4/15,1016,18,1
BARRET1,1,X,W,6/16/15,1914,7/4/15,1016,18,2
BARRET2,1,SM,E,6/16/15,1856,7/4/15,853,18,0
BARRET2,1,SM,W,6/16/15,1856,7/4/15,853,18,0
BARRET2,1,SM,N,6/16/15,1854,7/4/15,853,18,0
BARRET2,1,SM,S,6/16/15,1854,7/4/15,853,18,0
BARRET2,1,X,N,6/16/15,1818,7/4/15,920,18,0
BARRET2,1,X,S,6/16/15,1818,7/4/15,920,18,0
BARRET2,1,X,E,6/16/15,1818,7/4/15,920,18,0
BARRET2,1,X,W,6/16/15,1818,7/4/15,920,18,0
WRIGHT1,1,SM,N,6/19/15,1600,7/19/15,1305,30,1
WRIGHT1,1,SM,S,6/19/15,1600,7/19/15,1305,30,5
WRIGHT1,1,SM,E,6/19/15,1600,7/19/15,1305,30,0
WRIGHT1,1,SM,W,6/19/15,1600,7/19/15,1305,30,8
WRIGHT1,1,X,N,6/19/15,1600,7/19/15,1305,30,4
WRIGHT1,1,X,S,6/19/15,1600,7/19/15,1305,30,2
WRIGHT1,1,X,E,6/19/15,1600,7/19/15,1305,30,9
WRIGHT1,1,X,W,6/19/15,1600,7/19/15,1305,30,3
WRIGHT2,1,SM,N,6/19/15,1215,7/19/15,1245,30,0
WRIGHT2,1,SM,S,6/19/15,1215,7/19/15,1245,30,0
WRIGHT2,1,SM,E,6/19/15,1215,7/19/15,1245,30,0
WRIGHT2,1,SM,W,6/19/15,1215,7/19/15,1245,30,0
WRIGHT2,1,X,N,6/19/15,1230,7/19/15,1230,30,1
WRIGHT2,1,X,S,6/19/15,1230,7/19/15,1230,30,0
WRIGHT2,1,X,E,6/19/15,1230,7/19/15,1230,30,0
WRIGHT2,1,X,W,6/19/15,1230,7/19/15,1230,30,0
UPKERN1,1,SM,N,6/21/15,1500,7/21/15,830,30,11
UPKERN1,1,SM,S,6/21/15,1500,7/21/15,830,30,8
UPKERN1,1,SM,E,6/21/15,1500,7/21/15,830,30,9
UPKERN1,1,SM,W,6/21/15,1500,7/21/15,830,30,11
UPKERN1,1,X,N,6/21/15,1500,7/21/15,845,30,34
UPKERN1,1,X,S,6/21/15,1500,7/21/15,845,30,3
UPKERN1,1,X,E,6/21/15,1500,7/21/15,845,30,2
UPKERN1,1,X,W,6/21/15,1500,7/21/15,845,30,4
UPKERN2,1,SM,N,6/21/15,1315,7/21/15,800,30,0
UPKERN2,1,SM,S,6/21/15,1315,7/21/15,800,30,0
UPKERN2,1,SM,E,6/21/15,1315,7/21/15,800,30,0
UPKERN2,1,SM,W,6/21/15,1315,7/21/15,800,30,0
UPKERN2,1,X,N,6/21/15,1325,7/21/15,750,30,0
UPKERN2,1,X,S,6/21/15,1325,7/21/15,750,30,0
UPKERN2,1,X,E,6/21/15,1325,7/21/15,750,30,0
UPKERN2,1,X,W,6/21/15,1325,7/21/15,750,30,0
AMPHIT1,1,SM,N,6/17/15,1248,7/6/15,1038,19,7
AMPHIT1,1,SM,S,6/17/15,1248,7/6/15,1038,19,5
AMPHIT1,1,SM,E,6/17/15,1248,7/6/15,1038,19,6
AMPHIT1,1,SM,W,6/17/15,1248,7/6/15,1038,19,4
