"","lake","round","location","direction","date_in","time_in","date_out","time_out","daysin","mayfly","fish","basin","lake_fish"
"1","BARRET1","1","SM","N",2015-06-16 18:57:00,"18:57",2015-07-04 09:55:00,"9:55",18,2,"fishless","BARRET","BARRET fishless"
"2","BARRET1","1","SM","S",2015-06-16 18:57:00,"18:57",2015-07-04 09:55:00,"9:55",18,0,"fishless","BARRET","BARRET fishless"
"3","BARRET1","1","SM","E",2015-06-16 18:57:00,"18:57",2015-07-04 09:55:00,"9:55",18,1,"fishless","BARRET","BARRET fishless"
"4","BARRET1","1","SM","W",2015-06-16 18:57:00,"18:57",2015-07-04 09:55:00,"9:55",18,2,"fishless","BARRET","BARRET fishless"
"5","BARRET1","1","X","N",2015-06-16 19:14:00,"19:14",2015-07-04 10:16:00,"10:16",18,1,"fishless","BARRET","BARRET fishless"
"6","BARRET1","1","X","S",2015-06-16 19:14:00,"19:14",2015-07-04 10:16:00,"10:16",18,2,"fishless","BARRET","BARRET fishless"
"7","BARRET1","1","X","E",2015-06-16 19:14:00,"19:14",2015-07-04 10:16:00,"10:16",18,1,"fishless","BARRET","BARRET fishless"
"8","BARRET1","1","X","W",2015-06-16 19:14:00,"19:14",2015-07-04 10:16:00,"10:16",18,2,"fishless","BARRET","BARRET fishless"
"9","BARRET2","1","SM","E",2015-06-16 18:56:00,"18:56",2015-07-04 08:53:00,"8:53",18,0,"fish","BARRET","BARRET fish"
"10","BARRET2","1","SM","W",2015-06-16 18:56:00,"18:56",2015-07-04 08:53:00,"8:53",18,0,"fish","BARRET","BARRET fish"
"11","BARRET2","1","SM","N",2015-06-16 18:54:00,"18:54",2015-07-04 08:53:00,"8:53",18,0,"fish","BARRET","BARRET fish"
"12","BARRET2","1","SM","S",2015-06-16 18:54:00,"18:54",2015-07-04 08:53:00,"8:53",18,0,"fish","BARRET","BARRET fish"
"13","BARRET2","1","X","N",2015-06-16 18:18:00,"18:18",2015-07-04 09:20:00,"9:20",18,0,"fish","BARRET","BARRET fish"
"14","BARRET2","1","X","S",2015-06-16 18:18:00,"18:18",2015-07-04 09:20:00,"9:20",18,0,"fish","BARRET","BARRET fish"
"15","BARRET2","1","X","E",2015-06-16 18:18:00,"18:18",2015-07-04 09:20:00,"9:20",18,0,"fish","BARRET","BARRET fish"
"16","BARRET2","1","X","W",2015-06-16 18:18:00,"18:18",2015-07-04 09:20:00,"9:20",18,0,"fish","BARRET","BARRET fish"
"17","WRIGHT1","1","SM","N",2015-06-19 16:00:00,"16:00",2015-07-19 13:05:00,"13:05",30,1,"fishless","WRIGHT","WRIGHT fishless"
"18","WRIGHT1","1","SM","S",2015-06-19 16:00:00,"16:00",2015-07-19 13:05:00,"13:05",30,5,"fishless","WRIGHT","WRIGHT fishless"
"19","WRIGHT1","1","SM","E",2015-06-19 16:00:00,"16:00",2015-07-19 13:05:00,"13:05",30,0,"fishless","WRIGHT","WRIGHT fishless"
"20","WRIGHT1","1","SM","W",2015-06-19 16:00:00,"16:00",2015-07-19 13:05:00,"13:05",30,8,"fishless","WRIGHT","WRIGHT fishless"
"21","WRIGHT1","1","X","N",2015-06-19 16:00:00,"16:00",2015-07-19 13:05:00,"13:05",30,4,"fishless","WRIGHT","WRIGHT fishless"
"22","WRIGHT1","1","X","S",2015-06-19 16:00:00,"16:00",2015-07-19 13:05:00,"13:05",30,2,"fishless","WRIGHT","WRIGHT fishless"
"23","WRIGHT1","1","X","E",2015-06-19 16:00:00,"16:00",2015-07-19 13:05:00,"13:05",30,9,"fishless","WRIGHT","WRIGHT fishless"
"24","WRIGHT1","1","X","W",2015-06-19 16:00:00,"16:00",2015-07-19 13:05:00,"13:05",30,3,"fishless","WRIGHT","WRIGHT fishless"
"25","WRIGHT2","1","SM","N",2015-06-19 12:15:00,"12:15",2015-07-19 12:45:00,"12:45",30,0,"fish","WRIGHT","WRIGHT fish"
"26","WRIGHT2","1","SM","S",2015-06-19 12:15:00,"12:15",2015-07-19 12:45:00,"12:45",30,0,"fish","WRIGHT","WRIGHT fish"
"27","WRIGHT2","1","SM","E",2015-06-19 12:15:00,"12:15",2015-07-19 12:45:00,"12:45",30,0,"fish","WRIGHT","WRIGHT fish"
"28","WRIGHT2","1","SM","W",2015-06-19 12:15:00,"12:15",2015-07-19 12:45:00,"12:45",30,0,"fish","WRIGHT","WRIGHT fish"
"29","WRIGHT2","1","X","N",2015-06-19 12:30:00,"12:30",2015-07-19 12:30:00,"12:30",30,1,"fish","WRIGHT","WRIGHT fish"
"30","WRIGHT2","1","X","S",2015-06-19 12:30:00,"12:30",2015-07-19 12:30:00,"12:30",30,0,"fish","WRIGHT","WRIGHT fish"
"31","WRIGHT2","1","X","E",2015-06-19 12:30:00,"12:30",2015-07-19 12:30:00,"12:30",30,0,"fish","WRIGHT","WRIGHT fish"
"32","WRIGHT2","1","X","W",2015-06-19 12:30:00,"12:30",2015-07-19 12:30:00,"12:30",30,0,"fish","WRIGHT","WRIGHT fish"
"33","UPKERN1","1","SM","N",2015-06-21 15:00:00,"15:00",2015-07-21 08:30:00,"8:30",30,11,"fishless","UPKERN","UPKERN fishless"
"34","UPKERN1","1","SM","S",2015-06-21 15:00:00,"15:00",2015-07-21 08:30:00,"8:30",30,8,"fishless","UPKERN","UPKERN fishless"
"35","UPKERN1","1","SM","E",2015-06-21 15:00:00,"15:00",2015-07-21 08:30:00,"8:30",30,9,"fishless","UPKERN","UPKERN fishless"
"36","UPKERN1","1","SM","W",2015-06-21 15:00:00,"15:00",2015-07-21 08:30:00,"8:30",30,11,"fishless","UPKERN","UPKERN fishless"
"37","UPKERN1","1","X","N",2015-06-21 15:00:00,"15:00",2015-07-21 08:45:00,"8:45",30,34,"fishless","UPKERN","UPKERN fishless"
"38","UPKERN1","1","X","S",2015-06-21 15:00:00,"15:00",2015-07-21 08:45:00,"8:45",30,3,"fishless","UPKERN","UPKERN fishless"
"39","UPKERN1","1","X","E",2015-06-21 15:00:00,"15:00",2015-07-21 08:45:00,"8:45",30,2,"fishless","UPKERN","UPKERN fishless"
"40","UPKERN1","1","X","W",2015-06-21 15:00:00,"15:00",2015-07-21 08:45:00,"8:45",30,4,"fishless","UPKERN","UPKERN fishless"
"41","UPKERN2","1","SM","N",2015-06-21 13:15:00,"13:15",2015-07-21 08:00:00,"8:00",30,0,"fish","UPKERN","UPKERN fish"
"42","UPKERN2","1","SM","S",2015-06-21 13:15:00,"13:15",2015-07-21 08:00:00,"8:00",30,0,"fish","UPKERN","UPKERN fish"
"43","UPKERN2","1","SM","E",2015-06-21 13:15:00,"13:15",2015-07-21 08:00:00,"8:00",30,0,"fish","UPKERN","UPKERN fish"
"44","UPKERN2","1","SM","W",2015-06-21 13:15:00,"13:15",2015-07-21 08:00:00,"8:00",30,0,"fish","UPKERN","UPKERN fish"
"45","UPKERN2","1","X","N",2015-06-21 13:25:00,"13:25",2015-07-21 07:50:00,"7:50",30,0,"fish","UPKERN","UPKERN fish"
"46","UPKERN2","1","X","S",2015-06-21 13:25:00,"13:25",2015-07-21 07:50:00,"7:50",30,0,"fish","UPKERN","UPKERN fish"
"47","UPKERN2","1","X","E",2015-06-21 13:25:00,"13:25",2015-07-21 07:50:00,"7:50",30,0,"fish","UPKERN","UPKERN fish"
"48","UPKERN2","1","X","W",2015-06-21 13:25:00,"13:25",2015-07-21 07:50:00,"7:50",30,0,"fish","UPKERN","UPKERN fish"
"49","AMPHIT1","1","SM","N",2015-06-17 12:48:00,"12:48",2015-07-06 10:38:00,"10:38",19,7,"fishless","AMPHIT","AMPHIT fishless"
"50","AMPHIT1","1","SM","S",2015-06-17 12:48:00,"12:48",2015-07-06 10:38:00,"10:38",19,5,"fishless","AMPHIT","AMPHIT fishless"
"51","AMPHIT1","1","SM","E",2015-06-17 12:48:00,"12:48",2015-07-06 10:38:00,"10:38",19,6,"fishless","AMPHIT","AMPHIT fishless"
"52","AMPHIT1","1","SM","W",2015-06-17 12:48:00,"12:48",2015-07-06 10:38:00,"10:38",19,4,"fishless","AMPHIT","AMPHIT fishless"
"53","AMPHIT1","1","X","N",2015-06-17 13:15:00,"13:15",2015-07-06 12:16:00,"12:16",19,2,"fishless","AMPHIT","AMPHIT fishless"
"54","AMPHIT1","1","X","S",2015-06-17 13:15:00,"13:15",2015-07-06 12:16:00,"12:16",19,3,"fishless","AMPHIT","AMPHIT fishless"
"55","AMPHIT1","1","X","E",2015-06-17 13:15:00,"13:15",2015-07-06 12:16:00,"12:16",19,0,"fishless","AMPHIT","AMPHIT fishless"
"56","AMPHIT1","1","X","W",2015-06-17 13:15:00,"13:15",2015-07-06 12:16:00,"12:16",19,0,"fishless","AMPHIT","AMPHIT fishless"
"57","AMPHIT2","1","SM","N",2015-06-17 11:30:00,"11:30",2015-07-06 09:00:00,"9:00",19,0,"fish","AMPHIT","AMPHIT fish"
"58","AMPHIT2","1","SM","S",2015-06-17 11:30:00,"11:30",2015-07-06 09:00:00,"9:00",19,0,"fish","AMPHIT","AMPHIT fish"
"59","AMPHIT2","1","SM","E",2015-06-17 11:30:00,"11:30",2015-07-06 09:00:00,"9:00",19,0,"fish","AMPHIT","AMPHIT fish"
"60","AMPHIT2","1","SM","W",2015-06-17 11:30:00,"11:30",2015-07-06 09:00:00,"9:00",19,0,"fish","AMPHIT","AMPHIT fish"
"61","AMPHIT2","1","X","N",2015-06-17 14:30:00,"14:30",2015-07-06 07:20:00,"7:20",19,1,"fish","AMPHIT","AMPHIT fish"
"62","AMPHIT2","1","X","S",2015-06-17 14:30:00,"14:30",2015-07-06 07:20:00,"7:20",19,0,"fish","AMPHIT","AMPHIT fish"
"63","AMPHIT2","1","X","E",2015-06-17 14:30:00,"14:30",2015-07-06 07:20:00,"7:20",19,1,"fish","AMPHIT","AMPHIT fish"
"64","AMPHIT2","1","X","W",2015-06-17 14:30:00,"14:30",2015-07-06 07:20:00,"7:20",19,1,"fish","AMPHIT","AMPHIT fish"
"65","CENTER1","1","SM","N",2015-06-23 08:00:00,"8:00",2015-07-16 14:45:00,"14:45",23,8,"fishless","CENTER","CENTER fishless"
"66","CENTER1","1","SM","S",2015-06-23 08:00:00,"8:00",2015-07-16 14:45:00,"14:45",23,36,"fishless","CENTER","CENTER fishless"
"67","CENTER1","1","SM","E",2015-06-23 08:00:00,"8:00",2015-07-16 14:45:00,"14:45",23,6,"fishless","CENTER","CENTER fishless"
"68","CENTER1","1","SM","W",2015-06-23 08:00:00,"8:00",2015-07-16 14:45:00,"14:45",23,3,"fishless","CENTER","CENTER fishless"
"69","CENTER1","1","X","N",2015-06-23 08:00:00,"8:00",2015-07-16 17:00:00,"17:00",23,5,"fishless","CENTER","CENTER fishless"
"70","CENTER1","1","X","S",2015-06-23 08:00:00,"8:00",2015-07-16 17:00:00,"17:00",23,1,"fishless","CENTER","CENTER fishless"
