Site,basin,fish,Timestamp,day,time,Yr,Mo,Day,Hr,Min,Sec,ACIout,BKdB_low,BKdB_bird,avgAMP,L10AMP,Hf,Ht,EI,Rough,ADI_step,Eveness_step,AR,wind
BARRET1,BARRET,fishless,2015-07-12T09:10:00Z,2015-07-12,09:10:00,2015,7,12,9,10,0,0.196055922651695,53.2155397432054,30.1073177214505,0.422764595541011,0.320667234263285,0.918588459111905,0.996257110718077,0.915150284213797,1.33734809027778,1.81102931798117,0.450793650793651,0.68495867768595,FALSE
BARRET1,BARRET,fishless,2015-07-09T08:00:00Z,2015-07-09,08:00:00,2015,7,9,8,0,0,0.123811556117477,43.7712099335555,38.2713954428545,0.41245752147381,0.400903180675611,0.871199427272023,0.999356141596066,0.870638498199271,0.33482088522861,1.16828245017656,0.711111111111111,0.570247933884298,FALSE
BARRET2,BARRET,fish,2015-07-12T07:10:00Z,2015-07-12,07:10:00,2015,7,12,7,10,0,0.228643220252074,37.7872695682548,32.4560974793914,0.349499617867076,0.332080017641069,0.990690053874698,0.9934886593148,0.984239333420481,0.645853835788581,1.10285925870267,0.742063492063492,3.5395041322314,FALSE
UPKERN1,UPKERN,fishless,2015-07-11T07:50:00Z,2015-07-11,07:50:00,2015,7,11,7,50,0,0.21030621777103,34.4177294733976,30.2618209899229,0.326010687993622,0.315886661138161,0.947390452586832,0.930280542971958,0.881338904638927,1.11307813846596,0.363043582645852,0.85679012345679,0.348099173553719,FALSE
CENTER1,CENTER,fishless,2015-07-11T07:10:00Z,2015-07-11,07:10:00,2015,7,11,7,10,0,0.505108058942751,33.7028517335555,31.1351287301423,0.321293468340268,0.307560189093558,0.926829110223647,0.838629407200558,0.777266147283078,10.7677371674281,1.75735959054009,0.446633825944171,0.148099173553719,FALSE
AMPHIT1,AMPHIT,fishless,2015-07-11T06:20:00Z,2015-07-11,06:20:00,2015,7,11,6,20,0,0.417350431772258,29.5145263711453,30.9984880134286,0.306265160532464,0.294818251406142,0.923625036309641,0.889105356248293,0.821199966947926,9.16179193167906,1.9490065925357,0.311111111111111,0.035702479338843,FALSE
UPKERN2,UPKERN,fish,2015-07-12T09:00:00Z,2015-07-12,09:00:00,2015,7,12,9,0,0,0.396256915887209,43.757919308614,23.2178337479797,0.379686846847967,0.299126040380214,0.953370634434404,0.969777816000616,0.924557691700918,3.40105,1.60701327367373,0.579365079365079,0.0218181818181818,FALSE
CENTER2,CENTER,fish,2015-07-11T07:30:00Z,2015-07-11,07:30:00,2015,7,11,7,30,0,0.867645146777557,36.3985928492541,47.9738361025291,0.348383817365028,0.323531796671407,0.48883532351524,0.344102477320552,0.168209445823388,17.8671866675774,1.80249087382936,0.484848484848485,0.247603305785124,FALSE
WRIGHT2,WRIGHT,fish,2015-07-11T08:30:00Z,2015-07-11,08:30:00,2015,7,11,8,30,0,0.193156764003146,48.593166014705,29.1765070731562,0.393073834487261,0.303103315373305,0.808323562450782,0.999502008285239,0.807921024013835,1.45701181780679,1.19427268434832,0.701754385964912,1.99933884297521,FALSE
UPKERN2,UPKERN,fish,2015-07-08T07:00:00Z,2015-07-08,07:00:00,2015,7,8,7,0,0,0.460246735536011,52.1650169674644,25.4419927917672,0.407863822477269,0.283471105775304,0.920765364068316,0.977836435717211,0.900357921732422,3.0060546875,1.14151243651771,0.73047304730473,0.462809917355372,FALSE
UPKERN2,UPKERN,fish,2015-07-12T09:10:00Z,2015-07-12,09:10:00,2015,7,12,9,10,0,0.342867373353444,44.894390554493,22.7048850350579,0.365861519159795,0.28544984143323,0.945382212832974,0.997835545167388,0.943335975733743,2.97860995721992,1.22919147585242,0.702508960573477,0.527603305785124,FALSE
WRIGHT2,WRIGHT,fish,2015-07-09T08:20:00Z,2015-07-09,08:20:00,2015,7,9,8,20,0,0.235147109190476,48.8769223796724,28.4003112818498,0.382423840749496,0.309804661567666,0.890250681635174,0.998220291348945,0.88866629479546,1.70729719338716,1.55405559688808,0.585185185185185,1.00561983471074,FALSE
AMPHIT1,AMPHIT,fishless,2015-07-11T06:10:00Z,2015-07-11,06:10:00,2015,7,11,6,10,0,0.133072394393523,28.9804623758934,28.5000160991343,0.300787580362101,0.29227907173843,0.855933985511563,0.999977625167491,0.855914834131998,0.647698875468556,0,NaN,0.0459504132231405,FALSE
AMPHIT1,AMPHIT,fishless,2015-07-10T06:40:00Z,2015-07-10,06:40:00,2015,7,10,6,40,0,0.450707109003425,44.6186785931445,34.5686919822916,0.359528554435651,0.302530028706907,0.556231278072002,0.701739602216253,0.390329515814485,1.53520313942752,1.27182520290683,0.652601969057665,0.0971900826446281,FALSE
BARRET2,BARRET,fish,2015-07-12T06:50:00Z,2015-07-12,06:50:00,2015,7,12,6,50,0,0.252679601549315,53.3832363709426,30.2185723983347,0.469170031163578,0.376522118619503,0.966389101331771,0.988957618665181,0.955717864357053,1.22851340728448,1.396566591495,0.603773584905661,1.32363636363636,FALSE
WRIGHT2,WRIGHT,fish,2015-07-09T08:50:00Z,2015-07-09,08:50:00,2015,7,9,8,50,0,0.532457844011267,56.0546945004148,34.901229139362,0.446928366484567,0.323058662250761,0.57406806648608,0.842025276284323,0.483379822288949,3.44646346667865,1.14206375560229,0.730960086299892,0.674380165289256,FALSE
CENTER2,CENTER,fish,2015-07-10T08:50:00Z,2015-07-10,08:50:00,2015,7,10,8,50,0,0.215509275179821,36.6377052236539,29.6766025430514,0.336533801632238,0.321900322196668,0.946978954315014,0.992714641341299,0.940079872990588,1.40448035461291,1.23593614564743,0.691358024691358,0.927272727272727,FALSE
