Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	1.887	1.886775817	4.886775817	3.000	1875.0	10968.8	7593.8	27.0	38.7	71.7	1.887	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	1.887	1413.0	11220.0	background	
2	Spectrogram 1	1	16.938	16.938098354	18.101154556	1.163	3375.0	4687.5	4031.2	25.6	36.7	57.8	16.938	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	16.938	3355.9	4728.8	GCRF	*very faint
3	Spectrogram 1	1	26.165	26.164627735	26.812743023	0.648	3656.2	4687.5	4125.0	25.9	35.7	54.5	26.165	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	26.165	3610.2	4703.4	GCRF	*very faint
4	Spectrogram 1	1	33.142	33.141544321	33.754146442	0.613	3562.5	4593.8	4031.2	25.8	35.3	54.1	33.142	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	33.142	3483.1	4678.0	GCRF	
5	Spectrogram 1	1	37.012	37.012479463	37.713864501	0.701	3562.5	4687.5	4125.0	25.5	35.2	54.8	37.012	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	37.012	3483.1	4779.7	GCRF	
6	Spectrogram 1	1	41.097	41.097111792	48.048814124	6.952	3187.5	4687.5	3937.5	25.8	38.4	66.3	41.097	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	41.097	3101.7	4703.4	GCRF	
7	Spectrogram 1	1	50.139	50.139283728	53.806018163	3.667	3093.8	4687.5	3937.5	25.7	39.0	63.8	50.139	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	50.139	3050.8	4830.5	GCRF	
8	Spectrogram 1	1	75.641	75.640965931	77.461015712	1.820	3187.5	4218.8	3750.0	25.8	36.6	58.9	75.641	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	75.641	3178.0	4271.2	PIKA	
9	Spectrogram 1	1	86.440	86.440282116	86.608969657	0.169	3281.2	4312.5	3750.0	26.3	36.1	49.1	86.440	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	86.440	3203.4	4398.3	PIKA	
10	Spectrogram 1	1	87.293	87.292598111	87.629973192	0.337	3000.0	4218.8	3562.5	26.1	37.5	52.6	87.293	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	87.293	2923.7	4220.3	PIKA	
11	Spectrogram 1	1	88.331	88.331358229	88.659855019	0.328	3000.0	4312.5	3656.2	26.3	36.3	52.9	88.331	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	88.331	2949.2	4372.9	PIKA	
12	Spectrogram 1	1	89.299	89.299092015	89.565440763	0.266	3093.8	4312.5	3656.2	27.1	38.9	52.6	89.299	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	89.299	3076.3	4347.5	PIKA	
13	Spectrogram 1	1	90.302	90.302338967	90.648592340	0.346	2906.2	4218.8	3562.5	26.1	35.4	53.0	90.302	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	90.302	2847.5	4296.6	PIKA	
14	Spectrogram 1	1	91.297	91.296707628	91.625204417	0.328	3093.8	4125.0	3562.5	26.5	36.4	52.1	91.297	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	91.297	3025.4	4194.9	PIKA	
15	Spectrogram 1	1	92.229	92.228928247	92.592938203	0.364	3187.5	4218.8	3656.2	26.1	36.6	52.3	92.229	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	92.229	3101.7	4271.2	PIKA	
16	Spectrogram 1	1	104.533	104.532783294	104.790253751	0.257	2718.8	4312.5	3468.8	26.4	36.9	53.3	104.533	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	104.533	2593.2	4474.6	GCRF	
17	Spectrogram 1	1	105.916	105.916409053	107.070586962	1.154	3000.0	4593.8	3843.8	25.8	36.3	58.7	105.916	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	105.916	2949.2	4652.5	GCRF	
18	Spectrogram 1	1	113.738	113.738130756	115.043239622	1.305	3187.5	4593.8	3937.5	26.0	38.7	58.9	113.738	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	113.738	3152.5	4601.7	GCRF	
19	Spectrogram 1	1	134.140	134.140141917	134.575178206	0.435	2156.2	8906.2	3656.2	39.1	58.5	75.6	134.140	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	134.140	839.0	11084.7	PIKA	
20	Spectrogram 1	1	140.665	140.664920323	145.228362211	4.563	2250.0	9281.2	3750.0	36.9	63.4	83.4	140.665	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	140.665	1398.3	11008.5	PIKA	
21	Spectrogram 1	1	145.583	145.583493876	145.974138707	0.391	2343.8	8718.8	3750.0	38.2	61.2	73.9	145.583	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	145.583	1245.8	10703.4	PIKA	
22	Spectrogram 1	1	146.365	146.364783538	146.719915202	0.355	2250.0	8625.0	3750.0	38.1	62.6	73.1	146.365	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	146.365	1423.7	10525.4	PIKA	
23	Spectrogram 1	1	147.182	147.181586366	147.527839739	0.346	2250.0	8437.5	3750.0	38.4	58.9	73.3	147.182	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	147.182	1678.0	10576.3	PIKA	
24	Spectrogram 1	1	148.093	148.092698120	148.483342951	0.391	2250.0	8437.5	3750.0	37.9	59.8	73.3	148.093	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	148.093	1576.3	10449.2	PIKA	
25	Spectrogram 1	1	149.069	149.069310197	149.486589903	0.417	2250.0	8437.5	3656.2	38.3	59.9	73.8	149.069	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	149.069	1627.1	10296.6	PIKA	
26	Spectrogram 1	1	150.179	150.179096648	150.525350021	0.346	2250.0	8343.8	3750.0	39.4	60.9	74.2	150.179	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	150.179	1728.8	10474.6	PIKA	
27	Spectrogram 1	1	151.227	151.226735059	151.661771348	0.435	2250.0	9000.0	3937.5	38.5	59.4	74.3	151.227	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	151.227	1779.7	10678.0	PIKA	
28	Spectrogram 1	1	152.487	152.487452467	152.922488756	0.435	2250.0	8625.0	3750.0	38.4	59.6	74.3	152.487	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	152.487	1652.5	10525.4	PIKA	
29	Spectrogram 1	1	154.023	154.023396916	154.458433205	0.435	2250.0	8812.5	3750.0	38.7	58.2	74.6	154.023	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	154.023	1754.2	10805.1	PIKA	
30	Spectrogram 1	1	155.799	155.799055239	156.704640983	0.906	2250.0	8718.8	4031.2	37.8	61.1	77.2	155.799	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	155.799	1372.9	11059.3	PIKA	
31	Spectrogram 1	1	161.313	161.312900586	162.058677082	0.746	2343.8	8718.8	4125.0	38.0	60.3	76.4	161.313	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	161.313	1728.8	10805.1	PIKA	
32	Spectrogram 1	1	168.682	168.681882624	169.445415703	0.764	2156.2	9093.8	3937.5	38.1	59.8	77.0	168.682	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	168.682	788.1	10754.2	PIKA	
33	Spectrogram 1	1	185.397	185.396758072	185.814037778	0.417	3000.0	4218.8	3562.5	26.9	39.8	54.3	185.397	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	185.397	2923.7	4220.3	GCRF	
34	Spectrogram 1	1	187.528	187.527548059	188.246689680	0.719	2625.0	4500.0	3656.2	27.4	42.7	59.3	187.528	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	187.528	2440.7	4678.0	GCRF	
35	Spectrogram 1	1	190.005	190.004591419	190.270940167	0.266	2625.0	5062.5	3562.5	28.2	43.6	57.0	190.005	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	190.005	2440.7	5288.1	GCRF	
36	Spectrogram 1	1	191.674	191.673710242	192.064355073	0.391	2156.2	3750.0	2906.2	27.1	41.2	55.7	191.674	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	191.674	2059.3	3915.3	GCRF	
37	Spectrogram 1	1	192.695	192.694713777	193.502638314	0.808	2250.0	3843.8	3000.0	26.4	39.0	58.0	192.695	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	192.695	2161.0	4016.9	GCRF	
38	Spectrogram 1	1	242.557	242.556760090	242.760960797	0.204	3093.8	4312.5	3843.8	27.1	39.3	52.0	242.557	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	242.557	2974.6	4449.2	GCRF	
39	Spectrogram 1	1	243.631	243.631033375	243.852990665	0.222	3187.5	4312.5	3656.2	27.8	38.9	52.7	243.631	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	243.631	3076.3	4474.6	GCRF	
40	Spectrogram 1	1	365.347	365.346811250	365.447257653	0.100	6562.5	8062.5	7218.8	32.6	49.0	55.6	365.347	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	365.347	6305.1	8262.7	WCSP	call
41	Spectrogram 1	1	368.799	368.799373383	368.874708185	0.075	6375.0	7312.5	6750.0	29.3	40.9	49.2	368.799	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	368.799	6228.8	7449.2	WCSP	call
42	Spectrogram 1	1	371.899	371.899351802	374.899351802	3.000	1875.0	10968.8	7593.8	27.0	39.1	71.7	371.899	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	371.899	1413.0	11220.0	background	
43	Spectrogram 1	1	453.901	453.900816556	454.032652460	0.132	2906.2	9093.8	6093.8	32.9	52.8	62.8	453.901	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	453.901	2440.7	9788.1	DEJU	call
44	Spectrogram 1	1	490.910	490.910182830	496.415901309	5.506	3562.5	5718.8	4593.8	25.8	37.8	67.1	490.910	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	490.910	3432.2	5822.0	AMPI	
45	Spectrogram 1	1	534.384	534.384231564	539.682779336	5.299	3187.5	4687.5	3937.5	25.7	37.2	64.9	534.384	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	534.384	3178.0	4779.7	AMPI	
46	Spectrogram 1	1	597.423	597.423056918	599.915383299	2.492	2718.8	3937.5	3281.2	26.0	38.7	61.2	597.423	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57690ed6b1.wav	file5e57690ed6b1.wav	597.423	2694.9	3940.7	GCRF	
