Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	1.718	1.717774899	2.865074541	1.147	3093.8	4593.8	3750.0	28.1	43.5	61.2	1.718	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575bf19156.wav	file5e575bf19156.wav	1.718	2978.9	4777.5	WCSP	song
2	Spectrogram 1	1	3.850	3.849924675	5.078449070	1.229	3000.0	5250.0	4031.2	28.0	42.6	62.9	3.850	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575bf19156.wav	file5e575bf19156.wav	3.850	2838.4	5423.9	WCSP	song
3	Spectrogram 1	1	4.926	4.926152658	6.225748712	1.300	3000.0	5156.2	3750.0	28.4	44.0	63.4	4.926	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575bf19156.wav	file5e575bf19156.wav	4.926	2866.5	5339.6	WCSP	song
4	Spectrogram 1	1	11.031	11.030544646	12.380906170	1.350	2812.5	5062.5	3937.5	28.8	49.1	64.2	11.031	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575bf19156.wav	file5e575bf19156.wav	11.031	2697.9	5283.4	WCSP	song
5	Spectrogram 1	1	17.541	17.540830001	19.246549822	1.706	3000.0	5343.8	4312.5	29.2	47.1	66.0	17.541	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575bf19156.wav	file5e575bf19156.wav	17.541	2838.4	5704.9	WCSP	song
6	Spectrogram 1	1	20.628	20.627721088	21.846092389	1.218	3000.0	5062.5	3937.5	26.8	39.7	61.4	20.628	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575bf19156.wav	file5e575bf19156.wav	20.628	2838.4	5227.2	WCSP	song
7	Spectrogram 1	1	26.037	26.037190381	26.575304373	0.538	3656.2	6000.0	4312.5	29.3	44.6	61.1	26.037	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575bf19156.wav	file5e575bf19156.wav	26.037	3428.6	6267.0	PIKA	
8	Spectrogram 1	1	27.093	27.093112175	28.098268498	1.005	3468.8	4875.0	4218.8	27.3	40.8	59.3	27.093	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575bf19156.wav	file5e575bf19156.wav	27.093	3400.5	4974.2	WCSP	song
9	Spectrogram 1	1	28.636	28.636382490	28.849597467	0.213	3000.0	4500.0	3843.8	29.5	44.6	55.5	28.636	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575bf19156.wav	file5e575bf19156.wav	28.636	2838.4	4693.2	GCRF	
10	Spectrogram 1	1	30.403	30.403020876	30.626388947	0.223	2718.8	4312.5	3750.0	30.1	44.2	56.4	30.403	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575bf19156.wav	file5e575bf19156.wav	30.403	2557.4	4468.4	GCRF	
11	Spectrogram 1	1	38.913	38.912897295	39.572848416	0.660	3562.5	4781.2	4218.8	27.3	42.4	56.9	38.913	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575bf19156.wav	file5e575bf19156.wav	38.913	3484.8	4889.9	ROWR	
