Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	7:21:05.313	0.313294889	0.402077805	0.089	3281.2	4687.5	3750.0	31.6	49.4	53.7	2015/7/10  7:21:05.313	/Users/mary/Desktop/listens_20180309/renamed_listens/CENTER2_20150710_072105_000.wav	CENTER2_20150710_072105_000.wav	0.313	3017.7	4833.0	YWAR	call*
2	Spectrogram 1	1	7:21:08.620	3.620240080	3.731711088	0.111	2718.8	4312.5	3656.2	30.4	46.2	53.8	2015/7/10  7:21:08.620	/Users/mary/Desktop/listens_20180309/renamed_listens/CENTER2_20150710_072105_000.wav	CENTER2_20150710_072105_000.wav	3.620	2573.8	4512.5	YRWA	*call
3	Spectrogram 1	1	7:21:09.821	4.820697094	4.949317489	0.129	2906.2	4312.5	3750.0	31.5	50.2	55.3	2015/7/10  7:21:09.821	/Users/mary/Desktop/listens_20180309/renamed_listens/CENTER2_20150710_072105_000.wav	CENTER2_20150710_072105_000.wav	4.821	2715.1	4558.7	YRWA	*call
4	Spectrogram 1	1	7:21:11.801	6.801451168	6.964370334	0.163	2718.8	4312.5	3656.2	28.4	42.4	53.1	2015/7/10  7:21:11.801	/Users/mary/Desktop/listens_20180309/renamed_listens/CENTER2_20150710_072105_000.wav	CENTER2_20150710_072105_000.wav	6.801	2581.0	4424.6	YRWA	*call
5	Spectrogram 1	1	7:21:42.730	37.730423538	37.975261646	0.245	2156.2	4406.2	3656.2	32.3	48.4	60.6	2015/7/10  7:21:42.730	/Users/mary/Desktop/listens_20180309/renamed_listens/CENTER2_20150710_072105_000.wav	CENTER2_20150710_072105_000.wav	37.730	1896.0	4624.3	GCRF	
6	Spectrogram 1	1	7:21:43.440	38.439826261	38.672108569	0.232	1875.0	3937.5	3187.5	35.3	52.4	63.5	2015/7/10  7:21:43.440	/Users/mary/Desktop/listens_20180309/renamed_listens/CENTER2_20150710_072105_000.wav	CENTER2_20150710_072105_000.wav	38.440	1687.9	4554.9	GCRF	
7	Spectrogram 1	1	7:21:44.859	39.858631708	40.185082518	0.326	1781.2	3937.5	2906.2	30.8	44.9	60.0	2015/7/10  7:21:44.859	/Users/mary/Desktop/listens_20180309/renamed_listens/CENTER2_20150710_072105_000.wav	CENTER2_20150710_072105_000.wav	39.859	1687.9	4300.6	GCRF	
8	Spectrogram 1	1	7:21:46.183	41.183268651	41.591332164	0.408	2343.8	4125.0	3281.2	29.9	47.3	59.3	2015/7/10  7:21:46.183	/Users/mary/Desktop/listens_20180309/renamed_listens/CENTER2_20150710_072105_000.wav	CENTER2_20150710_072105_000.wav	41.183	2173.4	4369.9	GCRF	
9	Spectrogram 1	1	7:21:30.955	25.955068291	26.300352802	0.345	4500.0	5812.5	5156.2	28.5	41.5	56.0	2015/7/10  7:21:30.955	/Users/mary/Desktop/listens_20180309/renamed_listens/CENTER2_20150710_072105_000.wav	CENTER2_20150710_072105_000.wav	25.955	4346.8	5965.3	UNK	
10	Spectrogram 1	1	7:21:31.865	26.865363821	27.216926232	0.352	4593.8	5812.5	5062.5	29.2	42.3	56.4	2015/7/10  7:21:31.865	/Users/mary/Desktop/listens_20180309/renamed_listens/CENTER2_20150710_072105_000.wav	CENTER2_20150710_072105_000.wav	26.865	4462.4	5965.3	UNK	*call
