Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	1.320	1.319733943	2.367372353	1.048	2250.0	3281.2	2812.5	28.4	41.3	59.1	1.320	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	1.320	2176.7	3348.8	HETH	
2	Spectrogram 1	1	8.120	8.119772277	9.238437020	1.119	2437.5	3656.2	3093.8	28.3	43.3	60.2	8.120	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	8.120	2372.1	3795.3	HETH	
3	Spectrogram 1	1	12.671	12.670731853	13.878179512	1.207	1968.8	3656.2	2718.8	29.2	44.6	63.2	12.671	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	12.671	1814.0	3934.9	HETH	
4	Spectrogram 1	1	16.854	16.853749476	17.350933806	0.497	3562.5	4500.0	3843.8	30.2	44.5	57.6	16.854	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	16.854	3376.7	4576.7	HETH	call
5	Spectrogram 1	1	20.551	20.551193478	22.255825467	1.705	2531.2	5625.0	3656.2	28.3	46.8	66.0	20.551	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	20.551	2372.1	5832.6	HETH	
6	Spectrogram 1	1	26.560	26.560388848	28.735570293	2.175	3093.8	4031.2	3656.2	29.1	45.3	62.6	26.560	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	26.560	3041.9	4046.5	AMPI	
7	Spectrogram 1	1	25.664	25.663681395	26.498240806	0.835	2906.2	4593.8	3562.5	30.1	47.1	62.7	25.664	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	25.664	2651.2	4855.8	HETH	
8	Spectrogram 1	1	32.511	32.510835857	33.984632265	1.474	2437.5	4125.0	3187.5	28.6	43.4	63.2	32.511	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	32.511	2260.5	4269.8	HETH	
9	Spectrogram 1	1	34.393	34.393033679	34.606112677	0.213	3937.5	5437.5	4593.8	29.1	41.2	54.9	34.393	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	34.393	3795.3	5553.5	DUFL	call
10	Spectrogram 1	1	36.772	36.771570726	37.952383511	1.181	1968.8	3750.0	2718.8	28.5	46.4	62.2	36.772	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	36.772	1897.7	3851.2	HETH	
11	Spectrogram 1	1	40.886	40.885606853	42.093054512	1.207	3281.2	4687.5	3843.8	27.7	42.9	60.7	40.886	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	40.886	3097.7	4855.8	HETH	
12	Spectrogram 1	1	44.872	44.871959786	46.185946945	1.314	2343.8	4312.5	3093.8	28.5	43.4	63.3	44.872	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	44.872	2204.7	4548.8	HETH	
13	Spectrogram 1	1	52.569	52.568671480	54.122372512	1.554	2718.8	3750.0	3000.0	32.8	52.1	66.7	52.569	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	52.569	2455.8	4074.4	HETH	
14	Spectrogram 1	1	57.825	57.824620114	59.245146772	1.421	2062.5	3468.8	2718.8	34.7	55.9	69.1	57.825	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	57.825	1981.4	4018.6	HETH	
15	Spectrogram 1	1	61.394	61.393693342	62.654410750	1.261	3375.0	5062.5	3750.0	34.8	56.6	70.6	61.394	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	61.394	2818.6	5832.6	HETH	
16	Spectrogram 1	1	64.806	64.806288813	66.146910846	1.341	2437.5	3937.5	3000.0	36.4	55.5	71.0	64.806	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	64.806	2260.5	4493.0	HETH	
17	Spectrogram 1	1	68.446	68.446388373	70.195411821	1.749	3093.8	3843.8	3281.2	39.4	60.6	75.3	68.446	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	68.446	2344.2	4660.5	HETH	
18	Spectrogram 1	1	73.725	73.725484901	75.359090557	1.634	1687.5	3843.8	2718.8	32.5	54.6	69.3	73.725	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	73.725	1423.3	4353.5	HETH	
19	Spectrogram 1	1	77.694	77.694081251	79.052459868	1.358	3093.8	4593.8	3843.8	37.4	56.6	73.3	77.694	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	77.694	2344.2	5190.7	HETH	
20	Spectrogram 1	1	81.370	81.369693978	83.100960843	1.731	2718.8	3468.8	2906.2	39.2	59.5	76.3	81.370	/Users/mary/Desktop/listens_20180309/completed_listens/file5e575d890e45.wav	file5e575d890e45.wav	81.370	1897.7	4939.5	HETH	
