Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	0.569	0.569227087	0.988385216	0.419	4687.5	7312.5	5906.2	21.9	37.9	53.2	0.569	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	0.569	4454.3	7612.2	AMPI	
2	Spectrogram 1	1	1.490	1.490340011	1.723205638	0.233	4968.8	6937.5	5906.2	23.5	40.2	51.2	1.490	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	1.490	4753.5	7279.8	AMPI	
3	Spectrogram 1	1	2.194	2.194111683	2.489074810	0.295	4781.2	7031.2	5906.2	24.7	43.9	54.4	2.194	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	2.194	4354.6	7512.5	AMPI	
4	Spectrogram 1	1	3.198	3.198021273	3.482634817	0.285	4875.0	6843.8	5812.5	24.5	41.5	53.2	3.198	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	3.198	4520.8	7180.1	AMPI	
5	Spectrogram 1	1	4.404	4.403747741	4.667662117	0.264	4687.5	6750.0	5812.5	25.2	41.3	53.8	4.404	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	4.404	4387.8	7047.1	AMPI	
6	Spectrogram 1	1	5.178	5.177512770	5.555272564	0.378	5062.5	6937.5	5906.2	24.3	42.1	54.1	5.178	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	5.178	4786.7	7379.5	AMPI	
7	Spectrogram 1	1	6.068	6.067576943	6.326316528	0.259	4687.5	7031.2	5906.2	21.8	37.6	50.4	6.068	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	6.068	4587.3	7246.5	AMPI	
8	Spectrogram 1	1	15.294	15.294497890	15.522188725	0.228	5156.2	7125.0	6093.8	26.6	45.9	54.7	15.294	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	15.294	4653.7	7412.7	AMPI	
9	Spectrogram 1	1	30.759	30.759461567	30.956103651	0.197	5250.0	6843.8	6000.0	25.0	41.0	51.5	30.759	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	30.759	4952.9	7213.3	AMPI	
10	Spectrogram 1	1	55.753	55.753060628	56.060427574	0.307	4500.0	6937.5	5906.2	22.8	41.6	52.5	55.753	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	55.753	4288.1	7246.5	AMPI	
11	Spectrogram 1	1	58.819	58.819411824	61.036844789	2.217	5062.5	7125.0	6093.8	21.9	43.7	59.4	58.819	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	58.819	4819.9	7346.3	AMPI	
12	Spectrogram 1	1	69.651	69.650593609	70.364714865	0.714	5062.5	7406.2	6281.2	22.3	40.8	55.3	69.651	/Users/mary/Desktop/listens_20180309/completed_listens/file5e5710e07b81.wav	file5e5710e07b81.wav	69.651	4819.9	7645.4	AMPI	
