Selection	View	Channel	Begin Clock Time	Begin Time (s)	End Time (s)	Delta Time (s)	Freq 5% (Hz)	Freq 95% (Hz)	Center Freq (Hz)	Avg Power (dB)	Max Power (dB)	Energy (dB)	Begin Date Time	Begin Path	Begin File	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	ID	NOTES
1	Spectrogram 1	1	0.593	0.592874110	0.983499012	0.391	3468.8	5437.5	4406.2	31.6	47.5	61.7	0.593	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	0.593	3151.5	5787.9	ROWR	
2	Spectrogram 1	1	1.706	1.706155080	3.029396934	1.323	3468.8	5250.0	4312.5	28.6	46.3	63.3	1.706	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	1.706	3212.1	5454.5	ROWR	
3	Spectrogram 1	1	3.879	3.879006095	5.080177667	1.201	2718.8	4687.5	3468.8	27.1	40.6	61.4	3.879	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	3.879	2606.1	4848.5	ROWR	
4	Spectrogram 1	1	3.044	3.044045368	3.317482799	0.273	3468.8	5156.2	4031.2	30.3	43.7	58.2	3.044	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	3.044	3272.7	5515.2	ROWR	
5	Spectrogram 1	1	5.149	5.148537025	5.509865059	0.361	2906.2	5531.2	3937.5	28.8	43.0	59.5	5.149	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	5.149	2666.7	5878.8	ROWR	
7	Spectrogram 1	1	7.443	7.442831734	7.848105070	0.405	3468.8	5437.5	4312.5	27.8	42.1	57.6	7.443	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	7.443	3303.0	5636.4	ROWR	
8	Spectrogram 1	1	7.877	7.877401937	9.352010941	1.475	3375.0	5437.5	4406.2	28.0	44.6	63.4	7.877	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	7.877	3212.1	5545.5	ROWR	
9	Spectrogram 1	1	10.162	10.162099711	10.542958990	0.381	3375.0	5531.2	4406.2	27.4	43.7	57.2	10.162	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	10.162	3272.7	5727.3	ROWR	
10	Spectrogram 1	1	13.683	13.682860656	15.533446127	1.851	6093.8	7875.0	7031.2	29.9	49.5	66.1	13.683	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	13.683	5848.5	8121.2	WCSP	fledglings
11	Spectrogram 1	1	15.736	15.735947698	16.751032373	1.015	3093.8	4875.0	3843.8	27.4	40.6	60.6	15.736	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	15.736	2969.7	5000.0	ROWR	
12	Spectrogram 1	1	16.896	16.896044469	18.359976108	1.464	3656.2	5437.5	4500.0	27.6	44.3	62.4	16.896	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	16.896	3484.8	5575.8	ROWR	
13	Spectrogram 1	1	17.089	17.089393931	17.648726302	0.559	6093.8	7781.2	7125.0	30.1	47.5	60.9	17.089	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	17.089	5878.8	8030.3	WCSP	
14	Spectrogram 1	1	19.449	19.448533238	20.073533080	0.625	3468.8	5531.2	4218.8	29.3	44.2	61.3	19.449	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	19.449	3242.4	5727.3	ROWR	
15	Spectrogram 1	1	21.031	21.031491778	22.633053874	1.602	3843.8	5343.8	4406.2	30.4	50.0	65.4	21.031	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	21.031	3575.8	5545.5	ROWR	
16	Spectrogram 1	1	19.561	19.560580046	20.732454751	1.172	2250.0	3093.8	2718.8	28.3	40.8	58.7	19.561	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	19.561	2242.4	3151.5	ROWR	
17	Spectrogram 1	1	23.606	23.605721084	24.748298921	1.143	3093.8	5343.8	4031.2	27.8	47.4	62.7	23.606	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	23.606	2878.8	5545.5	ROWR	
18	Spectrogram 1	1	25.142	25.141772915	26.401538222	1.260	2343.8	3937.5	3093.8	27.7	42.6	61.4	25.142	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	25.142	2242.4	4121.2	ROWR	
19	Spectrogram 1	1	26.879	26.878512522	28.206637188	1.328	2343.8	3281.2	2812.5	28.2	40.3	59.9	26.879	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	26.879	2272.7	3393.9	ROWR	
20	Spectrogram 1	1	30.373	30.373465586	31.623465271	1.250	3281.2	4875.0	3843.8	28.6	45.0	62.3	30.373	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	30.373	3151.5	4969.7	ROWR	
21	Spectrogram 1	1	33.297	33.297356208	34.234855972	0.937	2718.8	3937.5	3281.2	27.6	41.1	58.8	33.297	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	33.297	2697.0	4060.6	ROWR	
22	Spectrogram 1	1	39.947	39.947361429	40.787204968	0.840	3093.8	3937.5	3468.8	31.2	43.6	60.1	39.947	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	39.947	3090.9	3939.4	ROWR	
23	Spectrogram 1	1	40.084	40.084080145	41.431736055	1.348	2718.8	3937.5	3187.5	30.7	43.9	64.2	40.084	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	40.084	2484.8	4181.8	ROWR	
24	Spectrogram 1	1	36.194	36.194293728	36.477496782	0.283	3093.8	3750.0	3375.0	29.5	39.0	52.8	36.194	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	36.194	3090.9	3787.9	WCSP	partial song
25	Spectrogram 1	1	36.380	36.379840556	37.639605864	1.260	3375.0	5156.2	4218.8	28.0	45.0	62.1	36.380	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	36.380	3272.7	5333.3	ROWR	
26	Spectrogram 1	1	36.370	36.370074934	37.541949639	1.172	2437.5	3093.8	2718.8	29.4	42.1	58.9	36.370	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	36.370	2424.2	3151.5	ROWR	
27	Spectrogram 1	1	42.791	42.790611439	44.382407913	1.592	3281.2	4125.0	3562.5	28.8	45.4	61.0	42.791	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	42.791	3151.5	4212.1	ROWR	
28	Spectrogram 1	1	46.469	46.469475958	47.699944398	1.230	2531.2	3375.0	2906.2	28.9	44.8	59.5	46.469	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	46.469	2454.5	3424.2	ROWR	
29	Spectrogram 1	1	50.127	50.127173860	51.191626717	1.064	2437.5	3093.8	2718.8	28.2	41.0	57.2	50.127	/Users/mary/Desktop/listens_20180309/completed_listens/file5e57178f19c0.wav	file5e57178f19c0.wav	50.127	2363.6	3151.5	ROWR	
