spec_name,species
American Pipit,AMPI
American Robin,AMRO
Brewer's Blackbird,BRBL
Cassin's Finch,CAFI
Chipping Sparrow,CHSP
Clark's Nutcracker,CLNU
Dark-eyed Junco,DEJU
Dusky Flycatcher,DUFL
Fox Sparrow,FOSP
Gray-crowned Rosy Finch,GCRF
Hermit Thrush,HETH
Mountain Bluebird,MOBL
Mountain Chickadee,MOCH
Northern Flicker,NOFL
Red Crossbill,RECR
Rock Wren,ROWR
Rufous Hummingbird,RUHU
Spotted Sandpiper,SPSA
White-crowned Sparrow,WCSP
Wilson's Warbler,WIWA
Unidentified Hummingbird,XXHU
Unidentified Sparrow,XXSP
Unidentified Bird,XXXX
Yellow-Rumped Warbler,YRWA
